id,scientific_name,common_name,image_url,taxa_url,attribution
154450,Tapinella atrotomentosa,Velvet-footed Tap,https://inaturalist-open-data.s3.amazonaws.com/photos/464669362/medium.jpeg,https://www.inaturalist.org/taxa/154450,"(c) simon bulman, some rights reserved (CC BY-NC)"
154450,Tapinella atrotomentosa,Velvet-footed Tap,https://inaturalist-open-data.s3.amazonaws.com/photos/464553159/medium.jpg,https://www.inaturalist.org/taxa/154450,"(c) ecokid, some rights reserved (CC BY-NC)"
118202,Tapinella panuoides,Oyster Rollrim,https://static.inaturalist.org/photos/469382017/medium.jpg,https://www.inaturalist.org/taxa/118202,"(c) paula_u, all rights reserved"
118202,Tapinella panuoides,Oyster Rollrim,https://inaturalist-open-data.s3.amazonaws.com/photos/466986787/medium.jpeg,https://www.inaturalist.org/taxa/118202,"(c) Поляков Александр, some rights reserved (CC BY)"
118202,Tapinella panuoides,Oyster Rollrim,https://static.inaturalist.org/photos/466588846/medium.jpeg,https://www.inaturalist.org/taxa/118202,"(c) Yolanda Jacobo Santiago Toledo, all rights reserved"
736008,Sebacina schweinitzii,jellied false coral fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/468862591/medium.jpg,https://www.inaturalist.org/taxa/736008,"(c) mugsyy, some rights reserved (CC BY-NC)"
736008,Sebacina schweinitzii,jellied false coral fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/440602327/medium.jpeg,https://www.inaturalist.org/taxa/736008,"(c) tiffanysherwood, some rights reserved (CC BY-NC)"
736008,Sebacina schweinitzii,jellied false coral fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/441030731/medium.jpeg,https://www.inaturalist.org/taxa/736008,"(c) gerardomiguelalonso-gmam04, some rights reserved (CC BY-NC)"
125705,Trichaptum biforme,violet-toothed polypore,https://static.inaturalist.org/photos/469560016/medium.jpg,https://www.inaturalist.org/taxa/125705,"(c) rkillam, all rights reserved"
125705,Trichaptum biforme,violet-toothed polypore,https://static.inaturalist.org/photos/469540898/medium.jpeg,https://www.inaturalist.org/taxa/125705,"(c) Todd Hills, all rights reserved"
125705,Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469462442/medium.jpeg,https://www.inaturalist.org/taxa/125705,"(c) WATANABE Hitoshi 渡辺仁, some rights reserved (CC BY)"
525060,Trichoderma sulphureum,N/A,https://static.inaturalist.org/photos/461092694/medium.jpg,https://www.inaturalist.org/taxa/525060,"(c) Natalia Schoenberg, all rights reserved"
525060,Trichoderma sulphureum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/459996069/medium.jpeg,https://www.inaturalist.org/taxa/525060,"(c) Ben King, some rights reserved (CC BY-NC)"
525060,Trichoderma sulphureum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/459961181/medium.jpeg,https://www.inaturalist.org/taxa/525060,"(c) Annely Thayer, some rights reserved (CC BY-NC)"
63489,Tylopilus felleus,Bitter Bolete,https://static.inaturalist.org/photos/451067191/medium.jpeg,https://www.inaturalist.org/taxa/63489,"(c) Jose Castro, all rights reserved"
63489,Tylopilus felleus,Bitter Bolete,https://inaturalist-open-data.s3.amazonaws.com/photos/450530799/medium.jpeg,https://www.inaturalist.org/taxa/63489,"(c) rosamariaserodio, some rights reserved (CC BY-NC)"
63489,Tylopilus felleus,Bitter Bolete,https://static.inaturalist.org/photos/444744039/medium.jpeg,https://www.inaturalist.org/taxa/63489,"(c) David Fabbri, all rights reserved"
384715,Vararia investiens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/460984112/medium.jpg,https://www.inaturalist.org/taxa/384715,"(c) Lynn Ovenden, some rights reserved (CC BY-NC)"
